strike,time_to_expiry,moneyness,type,market_iv,solved_iv,converged
73000,0.194521,0.946156,C,0.3621,0.360498,1
62000,0.271233,0.800374,C,0.4137,0.412442,1
81000,0.00821918,1.05929,C,0.3302,0.292812,1
82000,0.769863,1.03267,C,0.3925,0.39206,1
71000,0.117808,0.923588,P,0.3514,0.34873,1
77500,0.00547945,1.01373,P,0.2546,0.209802,1
110000,0.769863,1.38527,C,0.4004,0.399982,1
30000,0.0219178,0.392053,C,1.2395,0.5,0
85000,0.769863,1.07045,P,0.3909,0.390484,1
86000,0.0410959,1.12291,C,0.351,0.343469,1
108000,0.520548,1.3769,C,0.3928,0.392086,1
79000,0.00821918,1.03314,P,0.2607,0.229948,1
77500,0.00547945,1.01374,C,0.2546,0.209837,1
74000,0.194521,0.959117,C,0.3601,0.358442,1
104000,0.769863,1.30973,C,0.3961,0.395668,1
60000,0.271233,0.774556,C,0.4267,0.425429,1
190000,0.0219178,2.48297,P,0.9385,0.5,0
73500,0.00821918,0.961209,P,0.2856,0.25316,1
76000,0.00273973,0.994292,C,0.2097,0.12593,1
78500,0.0109589,1.0265,P,0.2486,0.227268,1
55000,0.520548,0.701208,P,0.4428,0.442,1
150000,0.769863,1.88903,C,0.4436,0.44313,1
78000,0.00273973,1.02045,P,0.3289,0.197522,1
58000,0.0219178,0.757969,C,0.6628,0.64618,1
54000,0.117808,0.702447,C,0.5386,0.534883,1
81000,0.0109589,1.05919,P,0.3071,0.279341,1
76500,0.00273973,1.00082,C,0.2095,0.125244,1
91000,0.117808,1.18375,C,0.345,0.342416,1
78000,0.0109589,1.01995,C,0.2404,0.220273,1
82000,0.117808,1.06668,P,0.3274,0.324857,1
106000,0.520548,1.35142,P,0.3913,0.390645,1
75000,0.0410959,0.979272,P,0.312,0.305209,1
300000,0.0219178,3.92053,P,1.3629,0.5,0
76000,0.00547945,0.99412,C,0.2408,0.198693,1
54000,0.117808,0.702447,P,0.5386,0.534583,1
210000,0.271233,2.71092,P,0.6438,0.641175,1
79000,0.00547945,1.03336,P,0.3046,0.249189,1
67000,0.00547945,0.876395,C,0.6734,0.596311,1
64000,0.0219178,0.83638,P,0.5223,0.500869,1
135000,0.0219178,1.76422,P,0.8226,0.5,0
70000,0.060274,0.913187,P,0.3521,0.346935,1
80000,0.271233,1.03274,C,0.3626,0.361467,1
81000,0.0219178,1.05854,P,0.316,0.302703,1
105000,0.271233,1.35547,P,0.392,0.390506,1
73000,0.0219178,0.953996,P,0.3146,0.301621,1
200000,0.271233,2.58182,P,0.6396,0.637116,1
78000,0.00547945,1.02028,C,0.2674,0.220387,1
106000,0.194521,1.37387,C,0.4009,0.399095,1
69000,0.00821918,0.90236,C,0.5106,0.460082,1
102000,0.194521,1.32203,P,0.3874,0.38565,1
67000,0.194521,0.86839,P,0.3854,0.383692,1
64000,0.117808,0.83253,P,0.402,0.39902,1
75000,0.117808,0.975621,C,0.3355,0.333003,1
67000,0.00547945,0.876395,P,0.6734,0.55478,1
170000,0.271233,2.19458,P,0.5812,0.576746,1
60000,0.520548,0.764954,C,0.4208,0.420065,1
70000,0.0410959,0.913987,P,0.3502,0.342641,1
85000,0.117808,1.1057,C,0.3299,0.327441,1
84000,0.0109589,1.09842,P,0.3845,0.343927,1
74000,0.00547945,0.967958,P,0.3197,0.263329,1
66000,0.117808,0.858547,P,0.3839,0.381029,1
72000,0.271233,0.929467,C,0.3721,0.370918,1
78000,0.0219178,1.01934,C,0.2869,0.275223,1
80000,0.0109589,1.0461,C,0.2839,0.260078,1
84000,0.00547945,1.09876,C,0.5531,0.455737,1
40000,0.271233,0.516371,P,0.6379,0.635795,1
90000,0.060274,1.17411,C,0.3699,0.364508,1
135000,0.271233,1.74275,C,0.479,0.477435,1
78500,0.0109589,1.02649,C,0.2486,0.227739,1
76000,0.117808,0.98863,C,0.3322,0.329762,1
104000,0.271233,1.34256,P,0.389,0.387568,1
68000,0.769863,0.856361,P,0.4082,0.407677,1
85000,0.271233,1.09729,P,0.361,0.359733,1
95000,0.194521,1.2313,C,0.3689,0.367254,1
84000,0.271233,1.08438,P,0.3607,0.359512,1
75500,0.00273973,0.987739,C,0.2474,0.147524,1
